ida_transporte,volta_transporte,avaliacao,resid,dist,ida_tempo,volta_tempo,cred,estudo,ativ,sono,prod,prod_tempo
Ônibus,Ônibus,Regular,São Sebastião,22.10,1:30:00,1:30:00,18,2:00:00,0:00:00,10:00:00,Na UnB (biblioteca e afins),12
Ônibus,Ônibus,Ruim,Brasília ,10.80,0:30:00,0:40:00,24,3:00:00,1:00:00,8:00:00,Na UnB (biblioteca e afins),12
Ônibus,Ônibus,Regular,Mangueiral,19.30,0:40:00,0:30:00,24,2:00:00,1:00:00,7:00:00,Em casa,0
Carro,Carro,,Guará,18.00,0:15:00,0:20:00,14,,6:00:00,8:00:00,Na UnB (biblioteca e afins),12
Carro,Carro,Ruim,Mangueiral,19.30,0:30:00,0:40:00,24,4:00:00,4:00:00,5:00:00,Na UnB (biblioteca e afins),12
Carro,Ônibus,Regular,Planaltina,39.30,0:40:00,2:00:00,24,6:00:00,5:00:00,7:00:00,Na UnB (biblioteca e afins),12
Carro,Carro,Ruim,Mangueiral,19.30,0:30:00,0:40:00,24,4:00:00,4:00:00,5:00:00,Na UnB (biblioteca e afins),12
Carro,Carro,,Samambaia,33.60,1:15:00,0:40:00,0,2:00:00,8:00:00,6:00:00,Em casa,6
Bicicleta,Bicicleta,,Asa Norte,5.00,0:50:00,0:40:00,24,2:00:00,4:00:00,6:00:00,Em casa,18
Carro,Carro,,Brasília,10.80,0:15:00,0:15:00,24,7:00:00,0:30:00,7:00:00,Em casa,18
Ônibus,Carro,Ruim,Águas Lindas,54.30,1:10:00,1:40:00,24,2:00:00,1:00:00,7:00:00,Na UnB (biblioteca e afins),0
Carro,Carro,,São Sebastião,22.10,1:00:00,1:20:00,16,2:00:00,1:00:00,9:00:00,Em casa,6
Metrô,Metrô,Bom,Taguatinga,27.20,1:30:00,1:00:00,24,2:00:00,1:00:00,6:00:00,Em casa,0
Ônibus,Carro,Ruim,Taguatinga,27.20,1:20:00,1:00:00,24,3:00:00,2:00:00,5:00:00,Na UnB (durante a aula),6
