ID,ANO,REG,LOCAL,TAM_MUN,ADM,TAM_ESCOLA,MATRICULADOS,PARTICIPACAO,NOTA_LP,NOTA_MT
80,2011,NE,1,1,3,3,85,"77,6470588235294","155,91","173,74"
81,2011,NE,1,1,3,3,86,"89,5348837209302","169,5","188,22"
82,2011,NE,1,2,3,1,20,85,"163,97","190,79"
83,2011,NE,1,2,3,2,31,"96,7741935483871","165,22","190,54"
84,2011,NE,1,2,3,2,42,"92,8571428571429","166,57","178,11"
85,2011,NE,1,2,3,3,53,"94,3396226415094","150,16","165,04"
86,2011,NE,1,2,3,3,74,"89,1891891891892","153,61","165,87"
87,2011,NE,1,2,3,3,97,"87,6288659793814","182,32","203,69"
88,2011,NE,1,3,3,1,22,"90,9090909090909","134,34","158,43"
89,2011,NE,1,3,3,2,34,"70,5882352941177","155,19","169,8"
90,2011,NE,1,3,3,2,36,100,"231,03","259,38"
91,2011,NE,1,3,3,2,45,"84,4444444444444","179,36","190,19"
92,2011,NE,1,3,3,3,62,"96,7741935483871","182,99","200,25"
93,2011,NE,1,3,3,3,64,"95,3125","165,57","181,63"
94,2011,NE,1,3,3,3,65,"83,0769230769231","160,3","165,6"
95,2011,NE,1,3,3,3,67,"85,0746268656716","163,34","180,41"
96,2011,NE,1,3,3,3,74,"87,8378378378378","166,31","179,55"
97,2011,NE,1,3,3,3,83,"89,1566265060241","171,82","186,63"
98,2011,NE,1,3,3,3,94,100,"152,43","159,53"
99,2011,NE,1,4,3,2,32,"68,75","143,1","166,23"
100,2011,NE,1,4,3,3,64,"96,875","183,35","191,24"
101,2011,NE,1,4,3,3,65,"93,8461538461538","174,61","181,47"
102,2011,NE,1,4,3,4,113,"97,3451327433628","180,66","190,14"
103,2011,NE,1,5,3,4,101,"90,0990099009901","181,33","195,55"
104,2011,NE,1,5,3,4,121,"70,2479338842975","165,67","184,76"
105,2011,NE,1,5,3,4,134,"83,5820895522388","180,44","196,98"
106,2011,NE,1,5,3,4,171,"91,812865497076","176,62","191,93"
107,2011,N,2,2,3,2,29,"58,6206896551724","145,17","165,9"
108,2011,N,2,3,3,1,21,"95,2380952380952","164,67","176,82"
109,2011,N,2,3,3,2,30,80,"165,59","177,93"
110,2011,N,2,3,3,2,35,100,"148,74","171,13"
111,2011,N,1,2,3,3,86,"98,8372093023256","191,43","196,38"
112,2011,N,1,3,3,2,31,100,"157,25","173,83"
113,2011,N,1,3,3,2,45,"88,8888888888889","158,73","168,52"
114,2011,N,1,3,3,2,45,"95,5555555555556","156,91","166,54"
115,2011,N,1,3,3,4,104,"66,3461538461538","166,55","181,46"
116,2011,N,1,3,3,4,124,"96,7741935483871","160,52","172,47"
117,2011,N,1,4,3,2,33,"87,8787878787879","174,38","191,74"
118,2011,N,1,5,3,3,59,"93,2203389830508","175,24","192,2"
119,2011,N,1,5,3,4,129,"89,922480620155","177,18","190,68"
120,2011,SE,2,1,3,2,43,"97,6744186046512","211,23","234,51"
121,2011,SE,2,1,3,3,53,"98,1132075471698","169,66","193,35"
122,2011,SE,2,2,3,1,20,80,"197,33","209,03"
123,2011,SE,2,3,3,2,34,"88,2352941176471","199,48","240,01"
124,2011,SE,2,3,3,3,68,"98,5294117647059","202,59","228,72"
125,2011,SE,2,4,3,2,25,96,"200,88","213,9"
126,2011,SE,2,4,3,2,44,"93,1818181818182","195,11","217,66"
127,2011,SE,2,4,3,2,45,"86,6666666666667","175,05","201,98"
128,2011,SE,1,1,3,1,21,"90,4761904761905",215,"244,17"
129,2011,SE,1,1,3,2,31,"87,0967741935484","171,4","200,05"
130,2011,SE,1,1,3,2,33,"87,8787878787879","203,1","230,35"
131,2011,SE,1,1,3,2,43,"97,6744186046512","198,47","222,51"
132,2011,SE,1,1,3,2,45,"91,1111111111111","199,25","236,34"
133,2011,SE,1,1,3,2,46,"86,9565217391304","220,02","230,27"
134,2011,SE,1,1,3,3,70,90,"179,86","206,18"
135,2011,SE,1,1,3,3,82,"95,1219512195122","219,05","250,22"
136,2011,SE,1,2,3,1,22,100,"183,86","220,56"
137,2011,SE,1,2,3,2,36,"77,7777777777778","203,28","207,21"
138,2011,SE,1,2,3,2,37,"75,6756756756757","202,5","220,11"
139,2011,SE,1,2,3,3,58,"91,3793103448276",213,"236,53"
140,2011,SE,1,2,3,3,59,"84,7457627118644","206,66","240,14"
141,2011,SE,1,2,3,3,67,"97,0149253731343","227,47","250,43"
142,2011,SE,1,2,3,3,77,"93,5064935064935","204,32","227,65"
143,2011,SE,1,2,3,3,87,"87,3563218390805","220,47","254,79"
144,2011,SE,1,2,3,3,93,"97,8494623655914","209,82","226,82"
145,2011,SE,1,2,3,3,93,100,"221,28","252,98"
146,2011,SE,1,2,3,4,101,"97,029702970297","206,69","226,05"
147,2011,SE,1,2,3,4,105,"89,5238095238095","202,15","235,49"
148,2011,SE,1,2,3,4,141,"75,177304964539","194,51","216,38"
149,2011,SE,1,2,3,4,164,"90,8536585365854","191,18","220,56"
150,2011,SE,1,2,3,4,191,"90,5759162303665","192,45","206,61"
151,2011,SE,1,3,3,1,22,100,"195,44","217,15"
152,2011,SE,1,3,3,2,30,"86,6666666666667","209,72","232,02"
153,2011,SE,1,3,3,2,33,100,"196,25","209,36"
154,2011,SE,1,3,3,2,48,"89,5833333333333","189,91","211,24"
155,2011,SE,1,3,3,2,49,100,"208,88","227,79"
156,2011,SE,1,3,3,3,50,98,"218,55","249,81"
157,2011,SE,1,3,3,3,69,"92,7536231884058","195,17","214,37"
158,2011,SE,1,3,3,3,71,"95,7746478873239","221,28","243,83"
159,2011,SE,1,3,3,3,98,"97,9591836734694","202,3","229,81"
160,2011,SE,1,3,3,4,142,"93,6619718309859","216,29","240,66"
161,2011,SE,1,4,3,2,26,100,"189,81","214,81"
162,2011,SE,1,4,3,2,27,"85,1851851851852","188,48","206,36"
163,2011,SE,1,4,3,2,27,"88,8888888888889","202,27","222,06"
164,2011,SE,1,4,3,2,41,"90,2439024390244","180,22","195,23"
165,2011,SE,1,4,3,2,49,"93,8775510204082","202,06","218,57"
166,2011,SE,1,4,3,3,64,"87,5","212,32","231,45"
167,2011,SE,1,4,3,3,66,"95,4545454545455","219,37","231,77"
168,2011,SE,1,4,3,3,86,"82,5581395348837","181,07","200,7"
169,2011,SE,1,4,3,4,113,"93,8053097345133","213,27","235,52"
170,2011,SE,1,4,3,4,139,"90,6474820143885","203,88","235,66"
171,2011,SE,1,5,3,3,62,"85,4838709677419","228,14","250,43"
172,2011,SE,1,5,3,4,110,"91,8181818181818","179,99","195,13"
173,2011,SE,1,5,3,4,111,"90,990990990991","193,35","210,57"
174,2011,SE,1,5,3,4,122,"90,983606557377","208,82","232,06"
175,2011,SE,1,5,3,4,141,"95,7446808510638","177,42","194,34"
176,2011,SE,1,5,3,4,173,"95,3757225433526","231,46","242,15"
177,2011,SE,1,5,3,4,262,"79,0076335877863","179,43","190,51"
178,2011,S,2,1,3,1,22,100,"175,63","185,59"
179,2011,S,2,1,3,2,33,"93,9393939393939","183,19","243,57"
180,2011,S,1,1,3,1,21,100,"220,55","254,51"
181,2011,S,1,1,3,1,22,"90,9090909090909","162,04","180,17"
182,2011,S,1,1,3,1,22,100,"181,49","210,88"
183,2011,S,1,1,3,1,22,100,"193,15","224,06"
184,2011,S,1,1,3,2,30,"86,6666666666667","188,66","211,84"
185,2011,S,1,1,3,2,38,"89,4736842105263","242,38","265,69"
186,2011,S,1,2,3,1,23,100,"197,35","219,49"
187,2011,S,1,2,3,2,41,"97,5609756097561","205,82","227,04"
188,2011,S,1,2,3,2,43,100,"182,58","195,86"
189,2011,S,1,2,3,2,43,100,"197,18","209,62"
190,2011,S,1,2,3,2,47,"95,7446808510638","220,85","240,31"
191,2011,S,1,3,3,2,26,"92,3076923076923","210,84","244,89"
192,2011,S,1,3,3,2,36,"91,6666666666667","175,59","196,28"
193,2011,S,1,3,3,3,54,"96,2962962962963","179,61","200,09"
194,2011,S,1,3,3,4,125,"91,2","210,27","230,81"
195,2011,S,1,4,3,3,79,100,"194,58","222,88"
196,2011,S,1,4,3,3,86,"89,5348837209302","218,11","247,17"
197,2011,S,1,5,3,3,53,"96,2264150943396","202,72","217,75"
198,2011,S,1,5,3,3,88,"94,3181818181818","194,25","213,17"
199,2011,S,1,5,3,3,96,"92,7083333333333","193,07","230,74"
200,2011,S,1,5,3,4,132,"96,969696969697","220,54","239,32"
